"filename", "language", "Markdown", "PHP", "Batch", "Ruby", "JavaScript", "CSS", "Docker", "YAML", "Shell Script", "Properties", "JSON", "MS SQL", "comment", "blank", "total"
"d:\wamp64\www\darkened-hub-dev\LICENSE.md", "Markdown", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"d:\wamp64\www\darkened-hub-dev\README.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\wamp64\www\darkened-hub-dev\Vagrantfile", "Ruby", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 19, 18, 89
"d:\wamp64\www\darkened-hub-dev\backend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 2, 5
"d:\wamp64\www\darkened-hub-dev\backend\assets\AppAsset.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 24
"d:\wamp64\www\darkened-hub-dev\backend\codeception.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"d:\wamp64\www\darkened-hub-dev\backend\config\bootstrap.php", "PHP", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\wamp64\www\darkened-hub-dev\backend\config\main.php", "PHP", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 63
"d:\wamp64\www\darkened-hub-dev\backend\config\params.php", "PHP", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\wamp64\www\darkened-hub-dev\backend\config\test.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\wamp64\www\darkened-hub-dev\backend\controllers\AnnouncementController.php", "PHP", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 16, 135
"d:\wamp64\www\darkened-hub-dev\backend\controllers\ConcertController.php", "PHP", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 16, 134
"d:\wamp64\www\darkened-hub-dev\backend\controllers\ProposalController.php", "PHP", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 16, 134
"d:\wamp64\www\darkened-hub-dev\backend\controllers\PublicProposalController.php", "PHP", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 16, 135
"d:\wamp64\www\darkened-hub-dev\backend\controllers\SiteController.php", "PHP", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 13, 105
"d:\wamp64\www\darkened-hub-dev\backend\controllers\SongController.php", "PHP", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 16, 134
"d:\wamp64\www\darkened-hub-dev\backend\controllers\UserController.php", "PHP", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 16, 141
"d:\wamp64\www\darkened-hub-dev\backend\models\LoginForm.php", "PHP", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 12, 81
"d:\wamp64\www\darkened-hub-dev\backend\tests\_bootstrap.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\wamp64\www\darkened-hub-dev\backend\tests\_data\login_data.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 14
